Genotype ID	B11	Na23	Mg25	Al27	P31	S34	K39	Ca43	Mn55	Fe57	Co59	Ni60	Cu65	Zn66	As75	Se82	Rb85	Sr88	Mo98	Cd111
HOPG-27-5	0.61	1.8	33.89	1.74	19.63	19.64	71.4	246.38	6.02	1.72	2.89	0.95	1.05	22.84	-5.77	-0.59	2.07	12.05	-1.43	0.19
HRSO-27-3	0.61	1.81	34.79	1.59	18.44	19.08	80.79	190.95	5.66	1.66	1.77	1.11	1.07	24.77	-5.22	-0.46	2.08	9.46	-0.68	-0.46
HRSP-27-1	0.61	1.86	31.41	1.59	18.48	18.51	76.78	165.13	4.56	1.73	1.89	1.32	0.99	13.37	-6.48	-0.8	1.52	6.86	-1.29	-0.86
HRSP-27-4	0.61	1.82	36.45	1.44	19.25	19.59	87.0	252.86	5.23	1.76	1.84	1.33	1.01	25.78	-4.41	-0.7	2.43	13.17	-1.39	0.02
HRSP-27-5	0.61	1.79	34.1	1.61	20.05	20.4	78.44	240.14	6.03	1.78	2.07	1.73	1.04	29.36	-4.41	-0.5	1.99	12.71	-0.81	-0.37
KLNA-20-4	0.61	1.76	35.43	1.55	19.71	18.96	82.11	190.78	6.17	1.77	1.87	0.77	1.05	26.91	-3.7	-0.48	2.55	8.38	-0.91	-0.46
KLNA-20-5	0.61	1.87	33.74	1.72	19.59	20.35	75.29	194.5	5.93	1.7	2.27	1.51	1.13	27.49	-4.44	-0.61	2.24	8.84	-0.23	-0.4
KLNB-20-2	0.61	1.85	33.68	1.53	18.55	19.77	86.6	211.3	5.02	1.7	2.13	1.87	1.08	26.83	-3.93	-0.35	2.6	10.17	-0.81	-0.3
KLNB-20-3	0.61	1.85	32.56	1.59	19.14	19.12	69.83	179.59	5.02	1.72	2.25	1.75	0.99	20.39	-4.41	-0.66	2.13	7.9	-0.99	-0.47
KLND-20-1	0.61	1.81	36.21	1.48	18.94	18.92	92.78	224.51	5.22	1.78	2.89	1.38	1.07	15.76	-5.38	-0.27	2.33	11.56	-1.43	-0.65
KLND-20-2	0.61	1.81	30.62	1.48	19.71	19.36	85.42	183.71	5.98	1.76	1.1	1.3	1.09	24.28	-2.72	-0.59	2.71	7.99	-1.17	-0.17
KLND-20-3	0.61	1.69	34.99	1.77	19.59	19.05	90.61	245.83	5.29	1.73	1.19	0.69	1.03	29.75	-4.58	-0.59	2.99	11.85	-1.32	0.22
KLND-20-5	0.61	1.9	31.99	1.66	20.21	19.48	79.37	187.56	5.29	1.7	2.95	1.36	1.13	25.19	-3.82	-0.7	2.32	8.13	-0.87	-0.4
KLNE-20-3	0.61	1.75	34.64	1.71	19.59	19.67	81.35	201.09	6.24	1.73	2.91	1.51	0.99	25.75	-5.9	-0.27	2.09	9.63	-0.93	0.17
KLNE-20-4	0.61	1.85	39.47	1.49	20.41	20.05	88.32	247.95	6.27	1.73	2.71	1.5	1.09	28.57	-4.07	-0.14	2.6	13.06	-1.07	0.64
KLNG-20-2	0.61	1.74	35.61	1.67	19.9	19.79	80.88	243.85	6.94	1.8	2.61	2.04	1.13	31.77	-4.78	-0.5	2.32	12.62	-0.39	0.23
