Genotype ID	B11	Na23	Mg25	Al27	P31	S34	K39	Ca43	Mn55	Fe57	Co59	Ni60	Cu65	Zn66	As75	Se82	Rb85	Sr88	Mo98	Cd111
GW-11047	332.34	57.25	1503	8.98	2664	1764	9348	8777	95.9	199.94	3.87	3.51	6.15	227.74	0.158	0.6	8.45	30.07	0.07	0.99
GW-11048	243.22	36.02	1054	7.7	2285	1615	8295	7146	86.32	157.07	1.68	1.31	4.59	126.25	0.132	0.63	3.99	22.96	0.14	0.54
GW-11051	229.17	57.12	1793	29.55	2508	2138	11002	8634	79.63	86.4	4.95	3.19	9.41	166.52	0.057	0.43	6.36	27.73	0.2	0.63
GW-11052	316.67	45.21	1096	8.59	2257	1472	9569	4276	48.46	98.13	2.87	2.11	4.23	154.65	0.141	0.47	4.74	10.92	0.18	0.26
GW-11053	279.68	53.19	1408	12.15	2392	1639	8618	9743	71.86	59.98	5.33	3.4	6.06	109.35	0.062	0.87	10.74	37	0.28	1.14
GW-11054	276.9	46.64	1202	15.45	2343	1496	11957	5010	85.06	80.42	2.4	2.37	5.08	95.33	0.102	0.51	5.71	16.18	0.21	0.4
GW-4579	231.83	202.61	2054	9.08	2262	1648	5668	10682	60.87	104.35	6.04	3.56	6.07	114.09	0.072	0.48	4.93	36.42	0.29	0.94
GW-7976	215.02	41.25	1338	7.55	2371	1445	7594	11020	62.74	63.85	2.98	2.16	5.1	109.76	0.059	0.73	6.13	37.84	0.16	1.11
GW-7978	245.91	58.47	2166	9.88	2523	1679	7639	11092	54.81	99.53	3.34	3.17	5.78	195.8	0.078	0.51	4.22	38.11	0.19	0.81
GW-7979	216.8	48.15	1560	19	2091	1419	6676	7627	93.88	113.49	4.89	2.5	4.91	260.02	0.146	0.73	5.98	24.96	0.57	0.56
GW-7981	174.62	50.7	1781	14.31	2204	1491	5573	10009	43.27	167.34	3.15	3.99	4.67	159.76	0.136	0.73	3.74	35.23	0.23	0.57
GW-7982	208.66	44.96	2047	13.38	1899	1632	5789	7662	125.03	252.66	4.7	2.08	3.82	136.96	0.079	0.57	5.73	26.44	0.35	0.72
